sector	employment
sinaloa_111_agricultura	51306
sinaloa_112_cria_y_explotacion_de_animales	3512
sinaloa_114_pesca_caza_y_captura	8997
sinaloa_113_115_aprovechamiento_forestal_servicios_relacionados_con_las_actividades_agropecuarias_y_forestales	14
sinaloa_21_1_mineria_petrolera	136
sinaloa_21_2_mineria_no_petrolera	3448
sinaloa_22_generacion_transmision_distribucion_y_comercializacion_de_energia_electrica_suministro_de_agua_y_de_gas_natural_por_ductos_al_consumidor_final	4327
sinaloa_23_construccion	52077
sinaloa_311_industria_alimentaria	45950
sinaloa_312_industria_de_las_bebidas_y_del_tabaco	3421
sinaloa_313_314_fabricacion_de_insumos_textiles_y_acabado_de_textiles_fabricacion_de_productos_textiles_excepto_prendas_de_vestir	1411
sinaloa_315_316_fabricacion_de_prendas_de_vestir_curtido_y_acabado_de_cuero_y_piel_y_fabricacion_de_productos_de_cuero_piel_y_materiales_sucedaneos	15
sinaloa_321_industria_de_la_madera	852
sinaloa_322_323_industria_del_papel_impresion_e_industrias_conexas	2443
sinaloa_324_326_fabricacion_de_productos_derivados_del_petroleo_y_del_carbon_industria_quimica_industria_del_plastico_y_del_hule	4090
sinaloa_327_fabricacion_de_productos_a_base_de_minerales_no_metalicos	1587
sinaloa_331_332_industrias_metalicas_basicas_fabricacion_de_productos_metalicos	4528
sinaloa_333_336_fabricacion_de_maquinaria_y_equipo_fabricacion_de_equipo_de_computacion_comunicacion_medicion_y_de_otros_equipos_componentes_y_accesorios_electronicos_fabricacion_de_accesorios_aparatos_electricos_y_equipo_de_generacion_de_energia_electrica_fabricacion_de_equipo_de_transporte	17645
sinaloa_337_fabricacion_de_muebles_colchones_y_persianas	2155
sinaloa_339_otras_industrias_manufactureras	1699
sinaloa_43_comercio_al_por_mayor	40070
sinaloa_46_comercio_al_por_menor	114181
sinaloa_48_49_transportes_correos_y_almacenamiento	33592
sinaloa_51_informacion_en_medios_masivos	1258
sinaloa_52_servicios_financieros_y_de_seguros	12013
sinaloa_53_servicios_inmobiliarios_y_de_alquiler_de_bienes_muebles_e_intangibles	7048
sinaloa_54_servicios_profesionales_cientificos_y_tecnicos	50007
sinaloa_55_corporativos	1141
sinaloa_56_servicios_de_apoyo_a_los_negocios_y_manejo_de_residuos_y_servicios_de_remediacion	319
sinaloa_61_servicios_educativos	31565
sinaloa_62_servicios_de_salud_y_de_asistencia_social	15356
sinaloa_71_servicios_de_esparcimiento_culturales_y_deportivos_y_otros_servicios_recreativos	5778
sinaloa_72_servicios_de_alojamiento_temporal_y_de_preparacion_de_alimentos_y_bebidas	32953
sinaloa_81_otros_servicios_excepto_actividades_gubernamentales	237
sinaloa_93_actividades_legislativas_gubernamentales_de_imparticion_de_justicia_y_de_organismos_internacionales_y_extraterritoriales	29009
resto_del_pais_111_agricultura	500926
resto_del_pais_112_cria_y_explotacion_de_animales	139975
resto_del_pais_114_pesca_caza_y_captura	16973
resto_del_pais_113_115_aprovechamiento_forestal_servicios_relacionados_con_las_actividades_agropecuarias_y_forestales	7244
resto_del_pais_21_1_mineria_petrolera	21027
resto_del_pais_21_2_mineria_no_petrolera	107669
resto_del_pais_22_generacion_transmision_distribucion_y_comercializacion_de_energia_electrica_suministro_de_agua_y_de_gas_natural_por_ductos_al_consumidor_final	154181
resto_del_pais_23_construccion	1676497
resto_del_pais_311_industria_alimentaria	848922
resto_del_pais_312_industria_de_las_bebidas_y_del_tabaco	147456
resto_del_pais_313_314_fabricacion_de_insumos_textiles_y_acabado_de_textiles_fabricacion_de_productos_textiles_excepto_prendas_de_vestir	365483
resto_del_pais_315_316_fabricacion_de_prendas_de_vestir_curtido_y_acabado_de_cuero_y_piel_y_fabricacion_de_productos_de_cuero_piel_y_materiales_sucedaneos	83504
resto_del_pais_321_industria_de_la_madera	56112
resto_del_pais_322_323_industria_del_papel_impresion_e_industrias_conexas	278138
resto_del_pais_324_326_fabricacion_de_productos_derivados_del_petroleo_y_del_carbon_industria_quimica_industria_del_plastico_y_del_hule	786669
resto_del_pais_327_fabricacion_de_productos_a_base_de_minerales_no_metalicos	157104
resto_del_pais_331_332_industrias_metalicas_basicas_fabricacion_de_productos_metalicos	685050
resto_del_pais_333_336_fabricacion_de_maquinaria_y_equipo_fabricacion_de_equipo_de_computacion_comunicacion_medicion_y_de_otros_equipos_componentes_y_accesorios_electronicos_fabricacion_de_accesorios_aparatos_electricos_y_equipo_de_generacion_de_energia_electrica_fabricacion_de_equipo_de_transporte	2051312
resto_del_pais_337_fabricacion_de_muebles_colchones_y_persianas	111841
resto_del_pais_339_otras_industrias_manufactureras	339959
resto_del_pais_43_comercio_al_por_mayor	1516979
resto_del_pais_46_comercio_al_por_menor	3104717
resto_del_pais_48_49_transportes_correos_y_almacenamiento	1346599
resto_del_pais_51_informacion_en_medios_masivos	125430
resto_del_pais_52_servicios_financieros_y_de_seguros	523217
resto_del_pais_53_servicios_inmobiliarios_y_de_alquiler_de_bienes_muebles_e_intangibles	154622
resto_del_pais_54_servicios_profesionales_cientificos_y_tecnicos	2694668
resto_del_pais_55_corporativos	42687
resto_del_pais_56_servicios_de_apoyo_a_los_negocios_y_manejo_de_residuos_y_servicios_de_remediacion	74354
resto_del_pais_61_servicios_educativos	666654
resto_del_pais_62_servicios_de_salud_y_de_asistencia_social	410996
resto_del_pais_71_servicios_de_esparcimiento_culturales_y_deportivos_y_otros_servicios_recreativos	213064
resto_del_pais_72_servicios_de_alojamiento_temporal_y_de_preparacion_de_alimentos_y_bebidas	1160277
resto_del_pais_81_otros_servicios_excepto_actividades_gubernamentales	20096
resto_del_pais_93_actividades_legislativas_gubernamentales_de_imparticion_de_justicia_y_de_organismos_internacionales_y_extraterritoriales	1223971
